crossover_title,issue_count,start_date,end_date
"Infinity War",46,1992-06-01,1992-11-01
"Infinity Crusade",43,1991-10-01,1993-12-01
"Age of Apocalypse",36,1994-01-01,1995-07-01
"Acts of Vengeance",26,1989-12-01,1990-03-01
"Infinity Gauntlet",26,1991-07-01,1992-02-01
Onslaught,22,1995-07-01,1997-02-01
Inferno,21,1988-10-01,1989-04-01
"Operation : Galactic Storm",20,1992-03-01,1992-06-01
"Siege of Darkness",17,1993-07-01,1994-01-01
Disassembled,14,2004-08-01,2005-01-01
"Blood and Thunder",13,1993-11-01,1994-02-01
"X-cutioners Song",12,1992-11-01,1993-01-01
"Operation Zero Tolerance",12,1997-08-01,1997-11-01
"Heroes Return",11,1998-01-01,1998-04-01
"Amalgam Comics",11,1996-04-01,1996-04-01
"Civil War",11,2006-08-01,2007-01-01
"X-tinction Agenda",9,1990-11-01,1991-01-01
"Onslaught Impact",9,1995-11-01,1996-09-01
"The Initiative",9,2007-04-01,2007-08-01
"Endangered Species",9,2007-08-01,2007-12-01
"Nuff Said",8,1993-12-01,2002-03-01
Shockwave,8,2000-09-01,2000-12-01
"Maximum Security",8,2000-12-01,2000-12-01
"House of M",8,2005-09-01,2005-12-01
"World War Hulk",8,2007-07-01,2007-12-01
"Time and Time Again",7,1994-05-01,1994-08-01
"Atlantis Attacks",7,1989-07-01,1989-09-01
"Evolutionary War",7,1988-07-01,1988-08-01
"Apocalypse : the Twelve",7,1999-12-01,2000-02-01
"Secret Wars II",7,1985-08-01,1986-04-01
"Fatal Attractions",6,1993-07-01,1993-11-01
"Rise of the Midnight Sons",6,1992-08-01,1992-11-01
"Ghosts of the Future",6,1995-12-01,1996-04-01
"Hunt for Xavier",6,1998-12-01,1999-02-01
"Road to Vengeance : The Missing Link",6,1993-09-01,1993-11-01
"Maximum Carnage",6,1993-06-01,1993-08-01
"End Game",6,2002-10-01,2003-02-01
Decimation,6,2006-01-01,2006-03-01
"Onslaught Phase",5,1996-07-01,1996-09-01
