crossover_title,crossover_part,count
"Abraxus Saga",2,1
"Acts of Idiocy",NULL,1
"Acts of Vengeance",NULL,26
"Age of Apocalypse",NULL,36
"Ages of Apocalypse",NULL,2
"Ages of Apocalypse","Book 1",1
"Ages of Apocalypse","Book 3",1
"Ages of Apocalypse","Book 5",1
"Amalgam Comics",NULL,11
"Apocalypse : the Twelve",NULL,1
"Apocalypse : the Twelve",[Unnumbered],2
"Apocalypse : the Twelve","Part 1",1
"Apocalypse : the Twelve","Part 3",1
"Apocalypse : the Twelve","Part 4",1
"Apocalypse : the Twelve","Part 5",1
"Armageddon 2001",NULL,1
"Assault on Armor City",NULL,3
"Atlantis Attacks",NULL,7
"Atlantis Rising",NULL,5
"Birth of a Spider-Man",NULL,3
"Birth of a Spider-Man","Part 3",1
"Blood and Thunder",NULL,3
"Blood and Thunder","Part 1",1
"Blood and Thunder","Part 10",1
"Blood and Thunder","Part 12",1
"Blood and Thunder","Part 2",1
"Blood and Thunder","Part 4",1
"Blood and Thunder","Part 5",1
"Blood and Thunder","Part 6",1
"Blood and Thunder","Part 8",1
"Blood and Thunder","Part 9",1
"Blood and Thunder","The End",1
"Blood Brothers",NULL,4
Bloodties,NULL,3
Bloodties,"Part 2",1
Bloodties,"Part 4",1
"Childs Play",1,1
"Childs Play",2,1
"Childs Play",3,1
"Childs Play",4,1
"Citizen Kang",NULL,3
"Citizen Kang","Part 2",1
"Civil War",NULL,11
"Crossing Line",NULL,3
"Crossing, the",NULL,3
"Dawn of M-Tech",NULL,2
"Days of Future Present",NULL,3
"Days of Future Present","Part 4",1
"Dead Mans Hand",NULL,3
Decimation,NULL,6
